location,way_points,waypoints_location,waypoints_instruction
31,2,"[-94.816342, 29.274761]",Turn right to stay on Fort Crockett Boulevard.
31,3,"[-94.812295, 29.275828]",Turn right.
31,4,"[-94.812215, 29.275665]",Turn left.
31,5,"[-94.811687, 29.275562]",Your destination is on the right.
32,0,"[-94.811687, 29.275562]",Drive southeast.
32,1,"[-94.811427, 29.275204]",Turn left onto Seawall Boulevard.
32,2,"[-94.808613, 29.276783]",Your destination is on the left.
33,0,"[-94.808613, 29.276783]",Drive northeast on Seawall Boulevard.
33,1,"[-94.806688, 29.277863]",Turn left onto Jack Johnson Boulevard - 41st Street.
33,2,"[-94.807028, 29.278222]",Turn right onto Avenue U.
33,3,"[-94.804958, 29.279404]",Turn right onto Mike Gaido Boulevard - 39th Street.
33,4,"[-94.80474, 29.278999]",Turn right onto Seawall Boulevard.
33,5,"[-94.808874, 29.276636]",Turn right.
33,6,"[-94.809015, 29.276817]",Turn left.
33,7,"[-94.809555, 29.276655]",Your destination is on the left.
34,0,"[-94.809555, 29.276655]",Drive west.
34,1,"[-94.809679, 29.277178]",Turn right.
34,2,"[-94.809492, 29.276672]",Turn left.
34,3,"[-94.809015, 29.276817]",Turn right.
34,4,"[-94.808874, 29.276636]",Turn left onto Seawall Boulevard.
34,5,"[-94.806688, 29.277863]",Turn left onto Jack Johnson Boulevard - 41st Street.
34,6,"[-94.807028, 29.278222]",Turn left onto Avenue U.
34,7,"[-94.807427, 29.277998]",Your destination is on the left.
35,0,"[-94.807427, 29.277998]",Drive southwest on Avenue U.
35,1,"[-94.811562, 29.276852]",Turn left onto 45th Street.
35,2,"[-94.810702, 29.27561]",Turn right onto Seawall Boulevard.
35,3,"[-94.826267, 29.266513]",Turn right onto 61st Street/Spur 342.
35,4,"[-94.828408, 29.270621]",Turn left.
35,5,"[-94.828709, 29.270506]",Turn right.
35,6,"[-94.82896, 29.270972]",Turn left.
35,7,"[-94.829399, 29.270793]",Turn left.
35,8,"[-94.828958, 29.27072]",Your destination is on the left.
36,0,"[-94.828958, 29.27072]",Drive northeast.
36,1,"[-94.828848, 29.270764]",Turn right.
36,2,"[-94.828709, 29.270506]",Turn left.
36,3,"[-94.828408, 29.270621]",Turn left onto 61st Street/Spur 342.
36,4,"[-94.830268, 29.274448]",Turn left.
36,5,"[-94.830875, 29.274548]",Your destination is on the left.
37,0,"[-94.830875, 29.274548]",Drive southwest.
37,1,"[-94.831629, 29.274258]",Your destination is on the left.
38,0,"[-94.831629, 29.274258]",Drive southwest.
38,1,"[-94.831658, 29.274247]",Turn right.
38,2,"[-94.832131, 29.275093]",Turn right onto Stewart Road.
38,3,"[-94.832093, 29.275109]",Your destination is on the left.
39,0,"[-94.832093, 29.275109]",Drive northeast on Stewart Road.
39,1,"[-94.830734, 29.275745]",Your destination is on the right.
40,0,"[-94.830734, 29.275745]",Drive northeast on Stewart Road.
40,1,"[-94.829017, 29.276424]",Turn right onto 59th Street.
40,2,"[-94.828141, 29.274781]",Turn right onto Avenue S ½.
40,3,"[-94.83003, 29.273998]",Turn right onto 61st Street/Spur 342.
40,4,"[-94.831075, 29.275585]",Turn left onto Stewart Road.
40,5,"[-94.837667, 29.272804]",Bear right onto Jones Drive.
40,6,"[-94.841094, 29.271389]",Turn right onto 71st Street.
40,7,"[-94.841639, 29.272402]",Turn right.
40,8,"[-94.841139, 29.2726]",You have arrived at your destination.
41,0,"[-94.841139, 29.2726]",Drive southwest.
41,1,"[-94.841639, 29.272402]",Turn left onto 71st Street.
41,2,"[-94.841094, 29.271389]",Turn right onto Jones Drive.
41,3,"[-94.84809, 29.268444]",Turn right onto Sky Master Road.
41,4,"[-94.851455, 29.274878]",Enter the roundabout and take the 1st exit.
41,5,"[-94.851126, 29.275635]",Your destination is on the right.
42,0,"[-94.851126, 29.275635]",Drive west.
42,1,"[-94.851353, 29.275579]",Your destination is on the right.
43,0,"[-94.851353, 29.275579]",Drive south.
43,1,"[-94.851565, 29.275002]",Enter the roundabout and take the 1st exit.
43,2,"[-94.8526, 29.27498]",Your destination is on the right.
44,0,"[-94.8526, 29.27498]",Drive west.
44,1,"[-94.853863, 29.27535]",Turn left.
44,2,"[-94.853654, 29.273241]",Turn left.
44,3,"[-94.851675, 29.272809]",Turn left.
44,4,"[-94.85144, 29.273298]",Your destination is on the right.
45,0,"[-94.85144, 29.273298]",Drive north.
45,1,"[-94.851321, 29.273544]",Turn left.
45,2,"[-94.852114, 29.273836]",Turn left.
45,3,"[-94.852238, 29.273577]",Your destination is on the right.
