Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,id,pickup_type
,-94.8082561071602,29.27677205068795,1,0,,,,,,,,,,,,,outdoor,3009.0,Truck
,-94.80526213325668,29.278482396580216,1,0,,,,,,,,,,,,,outdoor,3010.0,Truck
,-94.80236790400106,29.28038269046843,1,0,,,,,,,,,,,,,outdoor,3011.0,Truck
,-94.79867731012496,29.282876114591787,1,0,,,,,,,,,,,,,outdoor,3012.0,Truck
,-94.79493642483013,29.28506169914705,1,0,,,,,,,,,,,,,outdoor,3013.0,Truck
,-94.79283633899044,29.28645386043989,1,0,,,,,,,,,,,,,outdoor,3014.0,Truck
,-94.78918032046477,29.289013989903104,1,0,,,,,,,,,,,,,outdoor,3015.0,Truck
,-94.7855794129526,29.291804838061307,1,0,,,,,,,,,,,,,outdoor,3016.0,Truck
,-94.78168618656736,29.29478947063417,1,0,,,,,,,,,,,,,outdoor,3017.0,Truck
,-94.8124062388772,29.27425339937392,1,0,,,,,,,,,,,,,outdoor,3018.0,Truck
,-94.81618144806576,29.27207251896977,1,0,,,,,,,,,,,,,outdoor,3019.0,Truck
,-94.81987694535516,29.270206728176856,1,0,,,,,,,,,,,,,outdoor,3020.0,Truck
,-94.8262520532695,29.266291220605424,1,0,,,,,,,,,,,,,outdoor,3021.0,Truck
,-94.83155513372616,29.263467832281307,1,0,,,,,,,,,,,,,outdoor,3022.0,Truck
,-94.841316614341,29.2581766503582,1,0,,,,,,,,,,,,,outdoor,3023.0,Truck
,-94.8361248635164,29.260958542086108,1,0,,,,,,,,,,,,,outdoor,3024.0,Truck
,-94.8738468189325,29.2405914297026,1,0,,,,,,,,,,,,,outdoor,3025.0,Truck
,-94.79551215028134,29.292771721098887,1,0,,,,,,,,,,,,,outdoor,3026.0,Truck
,-94.84125378845,29.2724794692196,1,0,,,,,,,,,,,,,outdoor,3027.0,Truck
,-94.84864400281596,29.2601984620952,1,0,,,,,,,,,,,,,outdoor,3028.0,Truck
,-94.77960042237318,29.33442883012103,1,0,,,,,,,,,,,,,outdoor,3029.0,Truck
,-94.87811761972976,29.23872499917516,1,0,,,,,,,,,,,,,outdoor,3030.0,Truck
,-94.89604294830498,29.2277225320811,1,0,,,,,,,,,,,,,outdoor,3031.0,Truck
,-94.9278228922708,29.210431153328607,1,0,,,,,,,,,,,,,outdoor,3032.0,Truck
,-94.95403603262106,29.19352527673134,1,0,,,,,,,,,,,,,outdoor,3033.0,Truck
,-94.95608616231785,29.196347559108165,1,0,,,,,,,,,,,,,outdoor,3034.0,Truck
