Truck_index,Original_index,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Bike Aggregation Point,Cumulative_Distance,Truck_Load
65,90,La Michoacana Meat Market,-94.8035795,29.2965863,2,1,286.0,supermarket,4.0,350,50,350,"3301 Broadway Avenue J, Galveston",POINT (-94.8035795 29.2965863),Skeptical,Med,No,Low,indoor,Truck,,,36894,27
58,82,Taqueria Flores,-94.8026272,29.297634,2,1,507.0,restaurant,4.5,,,750,"3202 Broadway Avenue J #4228, Galveston",POINT (-94.8026272 29.297634),Skeptical,Med,No,Low,indoor,Truck,,,37152,28
136,175,,-94.80319324564574,29.307076972140123,1,0,,,,,,,,,,,,,outdoor,Truck,1004.0,,39225,28
135,174,,-94.80622984152676,29.3066150729322,1,0,,,,,,,,,,,,,outdoor,Truck,1003.0,,39517,28
53,77,Freckleberry Teahouse,-94.79937,29.3041968,1,1,78.0,cafe,4.9,,,625,"2724 Market Street, Galveston",POINT (-94.79937 29.3041968),Curious,Med,No,Med,indoor,Truck,,,40911,29
15,24,Red Light Coffee Roasters,-94.7995497,29.3040468,1,1,305.0,cafe,4.6,150,100,150,"2728 Market Street, Galveston",POINT (-94.7995497 29.3040468),Curious,High,Yes,Med,indoor,Truck,,,40978,30
14,23,Leeland House Galveston,-94.7988738,29.3038963,1,1,51.0,bar,4.6,140,70,140,"2711 Market Street, Galveston",POINT (-94.7988738 29.3038963),Skeptical,High,Yes,Med,indoor,Truck,,,41073,31
7,14,Maceo Spice & Import Company,-94.7988412,29.3042052,1,1,564.0,restaurant,4.7,1050,420,1050,"2706 Market Street, Galveston",POINT (-94.7988412 29.3042052),Fan,High,No,Med,indoor,Truck,,,41115,32
17,26,Eatcetera,-94.795793,29.3044994,1,1,299.0,restaurant,4.5,42,42,42,"408 25th Street, Galveston",POINT (-94.795793 29.3044994),Raving Fan,High,Yes,Med,indoor,Truck,,,41558,33
47,68,Jack's Pub On Post Office,-94.7951116,29.3043679,2,2,316.0,bar,4.6,210,30,210,"2406 Postoffice St, Galveston",POINT (-94.7951116 29.3043679),Hesitant,Med,No,Low,indoor,Truck,,,41617,35
