location,way_points,waypoints_location,waypoints_instruction
44,2,"[-94.777684, 29.298443]",Turn left onto Seawall Boulevard.
44,3,"[-94.775185, 29.301496]",Make a sharp left onto Avenue M.
44,4,"[-94.775443, 29.301442]",Your destination is on the right.
45,0,"[-94.775443, 29.301442]",Drive west on Avenue M.
45,1,"[-94.776185, 29.301245]",Turn right onto 10th Street.
45,2,"[-94.778775, 29.308869]",Turn right.
45,3,"[-94.777808, 29.309122]",Your destination is on the right.
46,0,"[-94.777808, 29.309122]",Drive east.
46,1,"[-94.777647, 29.309164]",Turn right onto 9th Street.
46,2,"[-94.776897, 29.306988]",Turn left onto Winnie Street - Avenue G.
46,3,"[-94.774446, 29.307629]",Your destination is on the right.
48,0,"[-94.771585, 29.306917]",Drive northeast.
48,1,"[-94.771131, 29.306985]",Turn left.
48,2,"[-94.771128, 29.307572]",Turn right onto Avenue H.
48,3,"[-94.770889, 29.307637]",Turn right onto Holiday Drive.
48,4,"[-94.770606, 29.306946]",Turn left onto Seawall Boulevard/TX 87. Continue on Seawall Boulevard.
48,5,"[-94.76649, 29.311994]",Turn right onto East Beach Drive.
48,6,"[-94.750282, 29.319965]",Turn right onto Shiraz Lane.
48,7,"[-94.750051, 29.319699]",Your destination is on the right.
49,0,"[-94.750051, 29.319699]",Drive southeast on Shiraz Lane.
49,1,"[-94.749449, 29.319007]",Turn right onto Seaside Drive.
49,2,"[-94.750456, 29.318324]",Turn right onto Ramsar Road.
49,3,"[-94.751291, 29.319287]",Turn left onto East Beach Drive.
49,4,"[-94.766408, 29.312092]",Turn left onto Seawall Boulevard.
49,5,"[-94.768521, 29.309698]",Turn right onto Ferry Road/TX 87.
49,6,"[-94.769751, 29.311719]",Turn left onto Market Street.
49,7,"[-94.772084, 29.311091]",Turn left onto Holiday Drive.
49,8,"[-94.771939, 29.310673]",Turn right.
49,9,"[-94.772566, 29.310505]",Your destination is on the right.
50,0,"[-94.772566, 29.310505]",Drive west.
50,1,"[-94.773081, 29.310367]",Turn right onto 5th Street.
50,2,"[-94.773228, 29.310793]",Turn right onto Market Street.
50,3,"[-94.772084, 29.311091]",Turn left onto Holiday Drive.
50,4,"[-94.774672, 29.318658]",Turn left.
50,5,"[-94.776932, 29.318073]",Turn left.
50,6,"[-94.777204, 29.317684]",You have arrived at your destination.
51,0,"[-94.777204, 29.317684]",Drive northeast.
51,1,"[-94.776932, 29.318073]",Turn right.
51,2,"[-94.774672, 29.318658]",Turn right onto Holiday Drive - 4th Street.
51,3,"[-94.773743, 29.315943]",Turn right.
