,5,8,9,10,11,11,12,12,13,16,19,19,34,36,47,49,49,50,53,59,61,62,64,65,67,69,70,72,72,76,89,101,102,104,104,105,142,147,147,148,150,153,154,155,157,172,173,176,178,179,180,183,184,185,186,187,199,202,208,208
59,576.3,498.7,388.9,147.6,132.3,132.3,310.8,310.8,518.5,4132.8,3975.0,3975.0,678.2,458.2,647.9,480.2,480.2,402.4,472.3,0.0,342.2,62.3,147.2,267.0,210.0,266.5,242.1,831.0,831.0,1034.5,199.4,713.8,474.7,477.9,477.9,479.1,152.6,268.6,268.6,177.1,48.2,133.4,226.4,242.7,711.5,367.4,148.8,675.0,911.0,721.5,927.3,310.3,213.3,323.8,439.9,91.9,586.8,4035.6,645.5,645.5
61,531.2,553.5,446.5,436.9,421.7,421.7,365.5,365.5,809.0,4381.6,4224.9,4224.9,429.6,344.0,402.7,434.6,434.6,355.2,223.6,342.1,0.0,279.9,331.6,409.5,394.4,450.9,426.5,1119.5,1119.5,1216.0,490.0,772.1,529.5,532.6,532.6,533.9,189.6,223.0,223.0,236.1,334.9,317.8,410.8,427.2,666.5,551.8,226.4,654.9,1194.1,1008.2,987.3,366.2,131.2,276.5,362.2,276.3,644.3,4238.2,904.3,904.3
62,514.0,538.5,395.6,154.3,139.0,139.0,148.3,148.3,525.2,4139.5,3981.7,3981.7,616.0,395.9,585.6,417.9,417.9,340.2,410.0,62.2,279.9,0.0,84.9,273.7,147.7,204.2,179.8,837.7,837.7,1041.3,206.1,720.5,514.4,517.6,517.6,518.8,90.3,206.3,206.3,219.4,54.9,71.2,164.1,180.5,649.2,305.1,86.5,612.7,917.7,728.3,934.0,147.8,151.0,261.5,377.7,29.6,593.5,4042.3,652.2,652.2
64,563.3,587.7,480.6,239.2,224.0,224.0,63.4,63.4,477.5,4089.6,3932.9,3932.9,600.0,445.2,634.9,467.2,467.2,389.5,460.1,147.1,331.6,84.9,0.0,78.5,62.8,119.3,94.9,922.7,922.7,889.9,291.1,805.4,563.7,566.9,566.9,568.1,139.6,255.6,255.6,268.7,139.9,13.8,79.2,95.5,698.5,220.2,135.8,662.0,1002.6,813.2,1018.9,62.9,200.3,310.8,426.9,55.3,678.4,4127.2,737.1,737.1
65,641.8,609.5,499.7,119.4,134.7,134.7,43.8,43.8,399.0,4009.4,3851.3,3851.3,678.5,523.7,713.4,545.7,545.7,468.0,538.6,111.1,409.5,163.4,78.5,0.0,43.1,99.6,75.2,707.4,707.4,1113.1,268.5,824.3,585.5,588.6,588.6,589.9,218.1,334.1,334.1,347.2,218.4,92.3,59.5,75.9,777.0,200.5,214.3,740.5,787.3,654.5,1040.8,43.2,278.8,389.3,505.5,133.8,697.6,3912.0,760.0,760.0
67,626.1,650.5,542.8,162.6,177.8,177.8,28.1,28.1,442.1,4026.9,3870.1,3870.1,662.8,508.0,697.7,530.0,530.0,452.2,522.9,209.9,394.4,147.7,62.8,43.1,0.0,56.5,32.1,750.5,750.5,1156.3,353.8,868.2,626.5,629.7,629.7,630.9,202.4,318.4,318.4,331.4,202.6,76.6,16.4,32.8,761.3,157.4,198.6,724.7,830.5,697.6,1083.9,27.5,263.0,373.6,489.7,118.1,740.7,3955.1,799.9,799.9
69,682.6,707.0,599.3,219.1,234.3,234.3,84.5,84.5,498.6,3995.1,3838.4,3838.4,719.3,564.5,754.2,586.5,586.5,508.7,579.4,266.4,574.1,204.2,119.3,99.6,56.5,0.0,24.4,807.0,807.0,795.3,410.3,924.7,683.0,686.2,686.2,687.4,258.8,374.8,374.8,387.9,259.1,133.0,40.1,23.7,817.8,125.6,255.1,781.2,773.4,754.1,1140.4,84.0,319.5,430.1,546.2,174.6,797.2,3893.5,856.4,856.4
70,658.2,682.6,574.9,194.7,209.9,209.9,60.1,60.1,474.2,3994.8,3838.0,3838.0,694.9,540.1,729.8,562.1,562.1,484.3,555.0,242.0,426.5,179.8,94.9,75.2,32.1,24.4,0.0,782.6,782.6,795.0,385.9,900.3,658.6,661.8,661.8,663.0,234.4,350.4,350.4,363.5,234.7,108.6,15.7,0.7,793.4,125.3,230.7,756.8,773.1,729.7,1116.0,59.6,295.1,405.7,521.8,150.2,772.8,3893.2,832.0,832.0
72,1251.9,764.1,827.4,649.7,665.0,665.0,720.1,720.1,276.2,3504.3,3347.6,3347.6,1428.7,1210.1,1401.8,1222.0,1222.0,1039.1,1222.7,901.9,1092.7,839.7,754.8,735.2,692.0,660.2,659.9,0.0,0.0,406.2,596.2,951.2,814.2,817.4,817.4,783.8,960.2,1010.4,1010.4,919.2,749.0,768.6,675.6,659.2,1147.1,644.2,996.9,1425.4,282.7,279.1,665.4,719.5,955.1,1065.6,1191.9,810.1,1025.2,3402.7,382.3,382.3
72,1251.9,764.1,827.4,649.7,665.0,665.0,720.1,720.1,276.2,3504.3,3347.6,3347.6,1428.7,1210.1,1401.8,1222.0,1222.0,1039.1,1222.7,901.9,1092.7,839.7,754.8,735.2,692.0,660.2,659.9,0.0,0.0,406.2,596.2,951.2,814.2,817.4,817.4,783.8,960.2,1010.4,1010.4,919.2,749.0,768.6,675.6,659.2,1147.1,644.2,996.9,1425.4,282.7,279.1,665.4,719.5,955.1,1065.6,1191.9,810.1,1025.2,3402.7,382.3,382.3
