Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude,Cumulative_Distance,Truck_Load
88,Drip,1.0,1.0,"3204 Seawall Boulevard, Galveston",29.2837,-94.7982,20150,57
83,Under the Bun,1.0,1.0,"3202 Seawall Boulevard, Galveston (SPOT)",29.2837,-94.7982,20150,58
84,Squeeze,1.0,1.0,"3204 Seawall Boulevard c, Galveston (spot)",29.2838,-94.798,20180,59
86,SideYard,1.0,1.0,"3204 Seawall Boulevard Suite D, Galveston",29.2837,-94.798,20190,60
156,The Spot,1.0,1.0,"3204 Seawall Boulevard, Galveston",29.2836,-94.798,20200,61
87,Rum Shack,1.0,1.0,"3204 Seawall Boulevard Suite E, Galveston",29.2836,-94.798,20200,62
85,Tiki Bar,2.0,2.0,"3204 Seawall Boulevard Suite B, Galveston",29.2836,-94.798,20200,64
81,Island time beach bar,2.0,2.0,"3102 Seawall Boulevard, Galveston",29.2842,-94.7971,20321,66
79,Float Pool & Patio Bar,1.0,1.0,"2828 Seawall Boulevard, Galveston",29.2859,-94.7944,20644,67
15,BLVD Seafood (all of Yagas Entertainment),1.0,1.0,"2804 Avenue R 1/2, Galveston",29.2866,-94.794,20809,68
46,Fish Company Taco,1.0,1.0,"1914 23rd Street, Galveston",29.2918,-94.7889,21771,69
52,Galvez Bar & Grill,1.0,1.0,"2024 Seawall Boulevard, Galveston",29.2928,-94.7863,22140,70
43,Longboard Pool Bar,1.0,1.0,"1702 Seawall Boulevard, Galveston",29.2945,-94.7829,22596,71
40,Saltgrass Steak House,1.0,1.0,"1502 Seawall Boulevard, Galveston",29.296,-94.7809,22912,72
37,Benno's Cajun Seafood Restaurant,1.0,1.0,"1212 Seawall Boulevard, Galveston",29.2982,-94.7782,23385,73
127,Lone Star Rally-Bar Hq,1.0,1.0,"910 Avenue M, Galveston",29.3016,-94.7755,23887,74
4,Porch Cafe,1.0,1.0,"1625 East Beach Drive #2A, Galveston",29.3196,-94.7502,27368,75
162,Russo's New York Pizzeria & Italian Kitchen - Galveston,1.0,1.0,"500 Seawall Boulevard #300, Galveston",29.307,-94.7717,30189,76
117,Rice & Curry Indo-Pak Cuisine,1.0,1.0,"712 7th Street, Galveston",29.3075,-94.7744,30651,77
101,Gonzalo’s American Bistro,1.0,1.0,"415 9th Street, Galveston",29.3091,-94.7778,31167,78
158,Suki Poke by the Sea,1.0,1.0,"427 Market Street, Galveston",29.3106,-94.7726,31924,79
119,Marina Bar & Grill,1.0,1.0,"715 North Holiday Drive, Galveston",29.3175,-94.7774,33296,80
107,America's Kitchen,1.0,1.0,"500 Harborside Drive, Galveston",29.3141,-94.7756,34279,81
